"","geodis","category","bray_all","category1"
"183",18.55153142,"Local",0.427667984189723,"Local"
"184",18.75475921,"Local",0.555335968379447,"Local"
"185",19.98506616,"Local",0.476679841897233,"Local"
"186",24.99437545,"Local",0.607114624505929,"Local"
"187",39.94144969,"Local",0.54703557312253,"Local"
"188",88.11431385,"Local",0.798814229249012,"Local"
"189",88.11554353,"Local",0.759683794466403,"Local"
"190",88.15855514,"Local",0.784584980237154,"Local"
"191",88.42846665,"Local",0.685375494071146,"Local"
"192",89.69344649,"Local",0.621739130434783,"Local"
"193",94.95017199,"Local",0.825691699604743,"Local"
"194",0.465511046,"Local",0.412252964426877,"Local"
"195",2.792549613,"Local",0.566403162055336,"Local"
"196",7.447143409,"Local",0.504743083003953,"Local"
"197",16.756331,"Local",0.597233201581028,"Local"
"198",35.37470618,"Local",0.62094861660079,"Local"
"199",2.327038568,"Local",0.546640316205534,"Local"
"200",6.981632363,"Local",0.465612648221344,"Local"
"201",16.29081995,"Local",0.59802371541502,"Local"
"202",34.90919514,"Local",0.556521739130435,"Local"
"203",4.654593796,"Local",0.540711462450593,"Local"
"204",13.96378139,"Local",0.622529644268775,"Local"
"205",32.58215657,"Local",0.671936758893281,"Local"
"206",9.309187591,"Local",0.570750988142293,"Local"
"207",27.92756277,"Local",0.530830039525692,"Local"
"208",18.61837518,"Local",0.677865612648221,"Local"
"209",5.795461752,"Local",0.656916996047431,"Local"
"210",17.38638512,"Local",0.710671936758893,"Local"
"211",86.95421191,"Local",0.789723320158103,"Local"
"212",1.159092356,"Local",0.700790513833992,"Local"
"213",1.249536669,"Local",0.61501976284585,"Local"
"214",3.030359497,"Local",0.708695652173913,"Local"
"215",7.556242605,"Local",0.669169960474308,"Local"
"216",35.48707664,"Local",0.73399209486166,"Local"
"217",11.59092337,"Local",0.558498023715415,"Local"
"218",81.15875016,"Local",0.662450592885375,"Local"
"219",6.954554107,"Local",0.554545454545455,"Local"
"220",6.970198707,"Local",0.543873517786561,"Local"
"221",7.49702741,"Local",0.586561264822134,"Local"
"222",10.20388291,"Local",0.544664031620553,"Local"
"223",36.14356253,"Local",0.605138339920949,"Local"
"224",69.56782679,"Local",0.643478260869565,"Local"
"225",18.54547748,"Local",0.58695652173913,"Local"
"226",18.55134989,"Local",0.570750988142293,"Local"
"227",18.75564873,"Local",0.592885375494071,"Local"
"228",19.99220677,"Local",0.549407114624506,"Local"
"229",40.02412242,"Local",0.613438735177866,"Local"
"230",88.11330427,"Local",0.692094861660079,"Local"
"231",88.11454046,"Local",0.66798418972332,"Local"
"232",88.15778001,"Local",0.711857707509881,"Local"
"233",88.42911931,"Local",0.686561264822134,"Local"
"234",94.98408365,"Local",0.555335968379447,"Local"
"235",0.46674053,"Local",0.512648221343874,"Local"
"236",2.799925157,"Local",0.546640316205534,"Local"
"237",7.466812434,"Local",0.53201581027668,"Local"
"238",35.4681361,"Local",0.615415019762846,"Local"
"239",2.333184626,"Local",0.545454545454545,"Local"
"240",7.000071904,"Local",0.518577075098814,"Local"
"241",35.00139557,"Local",0.598814229249012,"Local"
"242",4.666887277,"Local",0.493675889328063,"Local"
"243",32.66821094,"Local",0.588142292490119,"Local"
"244",28.00132366,"Local",0.585375494071146,"Local"
"245",5.797852611,"Local",0.712252964426877,"Local"
"246",40.59611715,"Local",0.806719367588933,"Local"
"247",86.99008436,"Local",0.759288537549407,"Local"
"248",1.233363019,"Local",0.7300395256917,"Local"
"249",2.774734448,"Local",0.8699604743083,"Local"
"250",15.17025145,"Local",0.626877470355731,"Local"
"251",31.95364509,"Local",0.757312252964427,"Local"
"252",34.79826454,"Local",0.863241106719368,"Local"
"253",81.19223175,"Local",0.766403162055336,"Local"
"254",6.970101693,"Local",0.629249011857708,"Local"
"255",7.400020048,"Local",0.843083003952569,"Local"
"256",16.64926764,"Local",0.80197628458498,"Local"
"257",32.68177746,"Local",0.759683794466403,"Local"
"258",46.39396722,"Local",0.849407114624506,"Local"
"259",41.7578021,"Local",0.826877470355731,"Local"
"260",41.83171152,"Local",0.926877470355731,"Local"
"261",44.41095064,"Local",0.856126482213439,"Local"
"262",52.56655171,"Local",0.870750988142292,"Local"
"263",88.15065651,"Local",0.716600790513834,"Local"
"264",88.18569268,"Local",0.866403162055336,"Local"
"265",89.43802519,"Local",0.802371541501976,"Local"
"266",93.75544063,"Local",0.832411067193676,"Local"
"267",2.100607498,"Local",0.862845849802372,"Local"
"268",14.70565165,"Local",0.800790513833992,"Local"
"269",31.51237718,"Local",0.686561264822134,"Local"
"270",12.60504415,"Local",0.902766798418972,"Local"
"271",29.41176968,"Local",0.612252964426877,"Local"
"272",16.80672553,"Local",0.802371541501976,"Local"
"273",11.59580364,"Local",0.608300395256917,"Local"
"274",34.79856025,"Local",0.825691699604743,"Local"
"275",81.19292172,"Local",0.685770750988142,"Local"
"276",6.957482262,"Local",0.777075098814229,"Local"
"277",6.97009971,"Local",0.51304347826087,"Local"
"278",7.398007774,"Local",0.574308300395257,"Local"
"279",9.663389622,"Local",0.594861660079051,"Local"
"280",16.61617244,"Local",0.611067193675889,"Local"
"281",32.60658019,"Local",0.788932806324111,"Local"
"282",23.20275661,"Local",0.811462450592885,"Local"
"283",69.59711808,"Local",0.7,"Local"
"284",18.5532859,"Local",0.802371541501976,"Local"
"285",18.55802115,"Local",0.550197628458498,"Local"
"286",18.72293787,"Local",0.709090909090909,"Local"
"287",19.72813055,"Local",0.688142292490119,"Local"
"288",23.91476417,"Local",0.637154150197628,"Local"
"289",36.8647656,"Local",0.848221343873518,"Local"
"290",46.39436147,"Local",0.873913043478261,"Local"
"291",41.75604251,"Local",0.91699604743083,"Local"
"292",41.75814674,"Local",0.823320158102767,"Local"
"293",41.83169995,"Local",0.845849802371542,"Local"
"294",42.29115935,"Local",0.882608695652174,"Local"
"295",44.39887853,"Local",0.672332015810277,"Local"
